date	count	package
2024-02-02	1	metricminer
2024-02-03	11	metricminer
2024-02-04	41	metricminer
2024-02-05	59	metricminer
2024-02-06	4	metricminer
2024-02-07	10	metricminer
2024-02-08	44	metricminer
2024-02-09	3	metricminer
2024-02-10	3	metricminer
2024-02-11	38	metricminer
2024-02-12	2	metricminer
2024-02-13	8	metricminer
2024-02-14	42	metricminer
2024-02-15	5	metricminer
2024-02-16	4	metricminer
2024-02-17	40	metricminer
2024-02-18	3	metricminer
2024-02-19	4	metricminer
2024-02-20	48	metricminer
2024-02-21	3	metricminer
2024-02-22	6	metricminer
2024-02-23	42	metricminer
2024-02-24	4	metricminer
2024-02-25	3	metricminer
2024-02-26	8	metricminer
2024-02-27	42	metricminer
2024-02-28	6	metricminer
2024-02-29	4	metricminer
2024-03-01	39	metricminer
2024-03-02	2	metricminer
2024-03-03	3	metricminer
2024-03-04	41	metricminer
2024-03-05	4	metricminer
2024-03-06	5	metricminer
2024-03-07	37	metricminer
2024-03-08	6	metricminer
2024-03-09	6	metricminer
2024-03-10	40	metricminer
2024-03-11	3	metricminer
2024-03-12	5	metricminer
2024-03-13	43	metricminer
2024-03-14	10	metricminer
2024-03-15	6	metricminer
2024-03-16	44	metricminer
2024-03-17	4	metricminer
2024-03-18	3	metricminer
2024-03-19	44	metricminer
2024-03-20	7	metricminer
2024-03-21	11	metricminer
2024-03-22	41	metricminer
2024-03-23	4	metricminer
2024-03-24	4	metricminer
2024-03-25	41	metricminer
2024-03-26	7	metricminer
2024-03-27	10	metricminer
2024-03-28	46	metricminer
2024-03-29	9	metricminer
2024-03-30	45	metricminer
2024-03-31	5	metricminer
2024-04-01	5	metricminer
2024-04-02	45	metricminer
2024-04-03	5	metricminer
2024-04-04	13	metricminer
2024-04-05	43	metricminer
2024-04-06	1	metricminer
2024-04-07	2	metricminer
2024-04-08	45	metricminer
2024-04-09	4	metricminer
2024-04-10	4	metricminer
2024-04-11	41	metricminer
2024-04-12	2	metricminer
2022-02-28	1	ottrpal
2022-03-01	23	ottrpal
2022-03-02	8	ottrpal
2022-03-03	22	ottrpal
2022-03-04	10	ottrpal
2022-03-05	30	ottrpal
2022-03-06	5	ottrpal
2022-03-07	43	ottrpal
2022-03-08	8	ottrpal
2022-03-09	38	ottrpal
2022-03-10	8	ottrpal
2022-03-11	22	ottrpal
2022-03-12	7	ottrpal
2022-03-13	7	ottrpal
2022-03-14	11	ottrpal
2022-03-15	11	ottrpal
2022-03-16	6	ottrpal
2022-03-17	8	ottrpal
2022-03-18	5	ottrpal
2022-03-19	7	ottrpal
2022-03-20	4	ottrpal
2022-03-21	10	ottrpal
2022-03-22	11	ottrpal
2022-03-23	18	ottrpal
2022-03-24	7	ottrpal
2022-03-25	14	ottrpal
2022-03-26	7	ottrpal
2022-03-27	8	ottrpal
2022-03-28	7	ottrpal
2022-03-29	12	ottrpal
2022-03-30	6	ottrpal
2022-03-31	10	ottrpal
2022-04-01	3	ottrpal
2022-04-02	9	ottrpal
2022-04-03	2	ottrpal
2022-04-04	9	ottrpal
2022-04-05	6	ottrpal
2022-04-06	18	ottrpal
2022-04-07	12	ottrpal
2022-04-08	2	ottrpal
2022-04-09	1	ottrpal
2022-04-10	9	ottrpal
2022-04-11	7	ottrpal
2022-04-12	3	ottrpal
2022-04-13	14	ottrpal
2022-04-14	11	ottrpal
2022-04-15	5	ottrpal
2022-04-16	11	ottrpal
2022-04-17	2	ottrpal
2022-04-18	20	ottrpal
2022-04-19	6	ottrpal
2022-04-20	13	ottrpal
2022-04-21	2	ottrpal
2022-04-22	9	ottrpal
2022-04-23	5	ottrpal
2022-04-24	10	ottrpal
2022-04-25	6	ottrpal
2022-04-26	3	ottrpal
2022-04-27	17	ottrpal
2022-04-28	3	ottrpal
2022-04-29	5	ottrpal
2022-04-30	7	ottrpal
2022-05-01	3	ottrpal
2022-05-02	13	ottrpal
2022-05-03	7	ottrpal
2022-05-04	17	ottrpal
2022-05-05	3	ottrpal
2022-05-06	13	ottrpal
2022-05-07	4	ottrpal
2022-05-08	9	ottrpal
2022-05-09	6	ottrpal
2022-05-10	11	ottrpal
2022-05-11	9	ottrpal
2022-05-12	13	ottrpal
2022-05-13	4	ottrpal
2022-05-14	7	ottrpal
2022-05-15	2	ottrpal
2022-05-16	10	ottrpal
2022-05-17	6	ottrpal
2022-05-18	12	ottrpal
2022-05-19	14	ottrpal
2022-05-20	6	ottrpal
2022-05-21	2	ottrpal
2022-05-22	12	ottrpal
2022-05-23	1	ottrpal
2022-05-24	6	ottrpal
2022-05-25	22	ottrpal
2022-05-26	5	ottrpal
2022-05-27	9	ottrpal
2022-05-28	5	ottrpal
2022-05-29	8	ottrpal
2022-05-30	3	ottrpal
2022-05-31	13	ottrpal
2022-06-01	6	ottrpal
2022-06-02	8	ottrpal
2022-06-03	2	ottrpal
2022-06-04	8	ottrpal
2022-06-05	1	ottrpal
2022-06-06	6	ottrpal
2022-06-07	1	ottrpal
2022-06-08	11	ottrpal
2022-06-09	5	ottrpal
2022-06-10	2	ottrpal
2022-06-11	8	ottrpal
2022-06-12	2	ottrpal
2022-06-13	11	ottrpal
2022-06-14	7	ottrpal
2022-06-15	11	ottrpal
2022-06-16	6	ottrpal
2022-06-17	5	ottrpal
2022-06-18	5	ottrpal
2022-06-19	2	ottrpal
2022-06-20	9	ottrpal
2022-06-21	3	ottrpal
2022-06-22	7	ottrpal
2022-06-23	5	ottrpal
2022-06-24	11	ottrpal
2022-06-25	2	ottrpal
2022-06-26	4	ottrpal
2022-06-27	9	ottrpal
2022-06-28	3	ottrpal
2022-06-29	10	ottrpal
2022-06-30	11	ottrpal
2022-07-01	6	ottrpal
2022-07-02	2	ottrpal
2022-07-03	14	ottrpal
2022-07-04	7	ottrpal
2022-07-05	3	ottrpal
2022-07-06	18	ottrpal
2022-07-07	3	ottrpal
2022-07-08	10	ottrpal
2022-07-09	11	ottrpal
2022-07-10	1	ottrpal
2022-07-11	2	ottrpal
2022-07-12	9	ottrpal
2022-07-13	7	ottrpal
2022-07-14	10	ottrpal
2022-07-15	11	ottrpal
2022-07-16	14	ottrpal
2022-07-17	2	ottrpal
2022-07-18	11	ottrpal
2022-07-19	2	ottrpal
2022-07-20	6	ottrpal
2022-07-21	9	ottrpal
2022-07-22	6	ottrpal
2022-07-23	3	ottrpal
2022-07-24	14	ottrpal
