website	day	month	year	country	fullPageUrl
dummy-website-2	11	01	2024	Germany	metricminer.github.io/my-cool-repo/
dummy-website-2	11	01	2024	United States	metricminer.github.io/my-cool-repo/
dummy-website-2	14	03	2024	United States	metricminer.github.io/my-cool-repo/
dummy-website-2	16	10	2024	United States	metricminer.github.io/my-cool-repo/
dummy-website	10	01	2024	Germany	metricminer.github.io/dummy-website/
dummy-website	10	01	2024	Russia	metricminer.github.io/dummy-website/
dummy-website	10	01	2024	United States	metricminer.github.io/dummy-website/
dummy-website	14	03	2024	United States	metricminer.github.io/dummy-website/
dummy-website	15	03	2024	United States	metricminer.github.io/dummy-website/
dummy-website	16	10	2024	United States	metricminer.github.io/dummy-website/
