repo_name	num_forks	num_contributors	total_contributions	num_stars	health_percentage	num_repo_activities	total_contributors
fhdsl/metricminer	NA	4	434	1	62	NA	NA
fhdsl/metricminer-dashboard	NA	4	188	0	62	NA	NA
jhudsl/OTTR_Template	12	18	954	15	75	NA	NA
jhudsl/OTTR_Template_Website	1	7	247	0	37	NA	NA
fhdsl/metricminer	NA	5	NA	2	100	590	489
fhdsl/metricminer-dashboard	NA	5	NA	1	62	521	229
jhudsl/OTTR_Template	14	19	NA	17	75	1564	1006
jhudsl/OTTR_Template_Website	3	8	NA	2	50	414	302
fhdsl/metricminer	NA	5	NA	2	100	595	489
fhdsl/metricminer-dashboard	NA	5	NA	1	62	526	234
jhudsl/OTTR_Template	14	19	NA	17	75	1569	1006
