event_name	Poll ID	Poll Type	Poll Question	Poll Option	Correct Answer	Count	Total Votes	Results
Cool-Workshop	33106652	Rating (1-5)	How confident do you feel now to participate in code review practices?		NA	1	5	NA
Cool-Workshop	33106652	Rating (1-5)	How confident do you feel now to participate in code review practices?		NA	2	5	NA
Cool-Workshop	33106652	Rating (1-5)	How confident do you feel now to participate in code review practices?		NA	2	5	NA
Cool-Workshop	33106682	Rating (1-5)	How confident are you now to work on GitHub?		NA	1	4	NA
Cool-Workshop	33106682	Rating (1-5)	How confident are you now to work on GitHub?		NA	2	4	NA
Cool-Workshop	33106682	Rating (1-5)	How confident are you now to work on GitHub?		NA	1	4	NA
Cool-Workshop	33106695	Rating (1-5)	How relevant do you think the topics today were to your current research/work?		NA	0	0	NA
Cool-Workshop	33106766	Rating (1-5)	How relevant do you think the  material today was to your professional development		NA	2	5	NA
Cool-Workshop	33106766	Rating (1-5)	How relevant do you think the  material today was to your professional development		NA	3	5	NA
Cool-Workshop	33106776	Rating (1-5)	What did you like most about the workshop?		NA	1	5	NA
Cool-Workshop	33106776	Rating (1-5)	What did you like most about the workshop?		NA	1	5	NA
Cool-Workshop	33106776	Rating (1-5)	What did you like most about the workshop?		NA	1	5	NA
Cool-Workshop	33106776	Open Text	Please share any recommendations you have for improvements.		NA	1	5	NA
Cool-Workshop	33106776	Open Text	Please share any recommendations you have for improvements.		NA	1	5	NA
Cool-Workshop	33106776	Open Text	Please share any recommendations you have for improvements.		NA	1	5	NA
Cool-Workshop	33106779	Open Text	Please share any recommendations you have for improvements.		NA	1	5	NA
Cool-Workshop	33106779	Open Text	Please share any recommendations you have for improvements.		NA	1	5	NA
Cool-Workshop	33145585	Open Text	Please share any recommendations you have for improvements.		NA	1	5	NA
Cool-Workshop	33145585	Open Text	Please share any recommendations you have for improvements.		NA	1	5	NA
Cool-Workshop	33145585	Open Text	Please share any recommendations you have for improvements.		NA	1	5	NA
Cool-Workshop	33145585	Open Text	What is your name?		NA	1	5	NA
Cool-Workshop	33145585	Open Text	What is your name?		NA	1	5	NA
Cool-Workshop	33145585	Open Text	What is your name?		NA	1	5	NA
Cool-Workshop	33145585	Open Text	What is your name?		NA	1	5	NA
Cool-Workshop	33145585	Open Text	What is your name?		NA	1	5	NA
Cool-Workshop	33145585	Open Text	What is your name?		NA	1	5	NA
Cool-Workshop	33145585	Open Text	What is your name?		NA	1	5	NA
Cool-Workshop	33145585	Open Text	What is your name?		NA	1	5	NA
Cool-Workshop	33145585	Open Text	What is your name?		NA	1	5	NA
